1138,570
1138,570
1138,570
1138,570
1138,570
1138,570
1138,570
1138,570
1138,570
1138,570
1135,569
1117,562
1100,556
1082,548
1056,536
1044,522
1033,504
1028,483
1029,458
1041,427
1068,395
1087,385
1107,380
1141,384
1164,396
1186,414
1208,439
1226,466
1248,513
1254,534
1254,547
1250,556
1238,563
1215,570
1200,571
1186,571
1171,565
1160,556
1152,541
1155,502
1169,474
1187,454
1207,441
1239,431
1261,433
1279,442
1296,452
1307,463
1316,483
1316,499
1309,514
1295,528
1272,536
1230,541
1200,537
1176,526
1150,493
1144,463
1157,411
1178,372
1205,344
1248,320
1300,318
1334,329
1369,346
1394,367
1416,399
1425,417
1427,434
1425,447
1411,461
1369,481
1337,487
1304,488
1273,480
1244,456
1234,433
1238,393
1256,358
1280,335
1309,326
1357,330
1384,346
1405,366
1418,386
1425,404
1427,422
1423,431
1412,441
1397,449
1383,453
1365,452
1357,446
1351,443
1350,439
1348,437
1348,436
1348,436
1348,436
1348,436
1348,436
1348,436
1348,436
1348,436
1348,436
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
6,330
15,330
43,331
78,334
112,339
159,353
187,367
207,380
219,393
227,407
228,414
223,423
209,431
189,436
150,432
125,420
100,399
76,362
67,316
76,260
97,234
129,216
165,211
211,216
271,244
303,266
323,284
334,298
341,314
339,335
330,358
311,379
288,397
252,408
226,406
202,394
177,362
147,282
146,232
162,195
190,175
227,166
275,172
357,206
420,245
459,271
480,289
500,321
502,340
495,361
480,381
450,398
394,408
342,399
305,379
270,339
248,273
254,241
278,215
336,196
443,201
510,226
584,257
642,284
685,310
712,332
726,349
728,353
723,358
707,366
677,373
650,374
621,366
586,344
549,306
529,272
528,238
546,221
571,211
605,212
637,223
676,249
693,269
703,291
704,313
694,337
671,368
651,388
623,402
597,408
578,409
